all_gather
512	0.01	0.02	0.03	0.02
1024	0.03	0.04	0.05	0.05
2048	0.05	0.08	0.10	0.10
4096	0.11	0.17	0.20	0.19
8192	0.21	0.35	0.41	0.38
16384	0.42	0.66	0.80	0.78
32768	0.83	1.32	1.58	1.52
65536	1.61	2.61	3.11	3.05
131072	2.92	5.08	6.13	6.16
262144	4.33	9.20	11.88	11.96
524288	9.46	13.75	20.78	23.26
1048576	15.97	28.76	30.60	38.94
2097152	23.63	46.46	58.67	55.22
4194304	27.50	65.31	82.47	90.69
8388608	29.51	75.39	96	104.61
16777216	45.08	76.21	96.42	104.21
33554432	45.60	72.18	96.42	107.67
67108864	45.49	68.23	89.20	97.86
134217728	45.50	68.27	82.73	70.21
268435456	45.57	67.17	83.56	90.38
536870912	45.57	67.82	82.60	91.10
1073741824	45.52	65.98	76.55	75.08

reduce
